PropertyID,Location,Area,SqFt,Age,YearsSinceRenovation,NumberOfRooms,NumberOfBathrooms,LocalSchoolQuality,PropertyType,YearBuilt,CrimeRate,MarketValue,ROI,Date
1,Suburban,1200,1000,0,3,1,4,4,Single Family,2012,Low,300000,0.05,7/26/2022
2,Urban,800,1500,5,2,1,3,3,Apartment,2006,Moderate,220000,0.04,9/26/2023
3,Rural,1800,500,0,4,2,5,5,Single Family,2015,Low,275000,0.06,2/19/2021
4,Suburban,1500,2000,10,3,2,3,4,Single Family,2000,Low,320000,0.07,3/1/2022
5,Urban,950,300,0,2,1,4,4,Townhouse,2018,High,280000,0.03,6/19/2022
6,Suburban,1100,800,2,4,3,2,5,Single Family,2014,Low,295000,0.05,8/14/2022
7,Urban,850,1800,8,1,1,2,2,Apartment,2003,Moderate,225000,0.04,7/12/2023
8,Rural,1600,600,1,3,3,4,5,Single Family,2016,Low,260000,0.06,5/20/2022
9,Suburban,1400,2200,12,2,2,2,3,Single Family,1999,Low,315000,0.07,1/24/2022
10,Urban,1000,400,0,2,1,3,4,Townhouse,2017,High,285000,0.03,7/31/2023
11,Suburban,1250,900,1,3,2,3,4,Single Family,2013,Low,305000,0.05,10/8/2023
12,Urban,775,1600,6,1,2,1,2,Apartment,2005,Moderate,215000,0.04,12/14/2021
13,Rural,1850,700,0,4,2,4,5,Single Family,2014,Low,280000,0.06,1/22/2021
14,Suburban,1550,2100,11,2,3,2,3,Single Family,2001,Low,330000,0.07,2/3/2022
15,Urban,925,200,0,1,1,4,4,Townhouse,2019,High,275000,0.03,3/15/2023
16,Suburban,1300,700,3,2,2,2,4,Single Family,2015,Low,310000,0.05,7/9/2021
17,Urban,850,1400,7,3,1,1,3,Apartment,2007,Moderate,230000,0.04,7/10/2021
18,Rural,1700,1000,1,4,3,3,5,Single Family,2012,Low,270000,0.06,10/12/2021
19,Suburban,1450,1900,9,1,2,2,4,Single Family,2002,Low,325000,0.07,7/13/2021
20,Urban,975,500,0,2,1,3,4,Townhouse,2016,High,290000,0.03,4/30/2021
21,Suburban,1350,600,2,3,2,2,4,Single Family,2016,Low,305000,0.05,2/26/2023
22,Urban,800,1700,8,1,2,1,3,Apartment,2004,Moderate,218000,0.04,6/29/2023
23,Rural,1650,800,0,3,2,3,5,Single Family,2013,Low,275000,0.06,9/26/2021
24,Suburban,1425,2300,13,2,3,2,3,Single Family,1998,Low,320000,0.07,3/23/2022
25,Urban,950,100,0,1,1,4,4,Townhouse,2020,High,280000,0.03,4/6/2023
26,Suburban,1180,1100,4,2,2,1,4,Single Family,2011,Low,300000,0.05,5/30/2021
27,Urban,860,1300,6,2,1,1,2,Apartment,2008,Moderate,225000,0.04,9/3/2023
28,Rural,1775,400,1,4,3,3,5,Single Family,2017,Low,265000,0.06,4/26/2022
29,Suburban,1520,1800,10,1,2,2,3,Single Family,2003,Low,330000,0.07,10/7/2023
30,Urban,1000,300,0,2,2,3,4,Townhouse,2018,High,285000,0.03,9/30/2022
31,Suburban,1230,800,2,2,2,2,3,Single Family,2014,Low,305000,0.05,6/21/2021
32,Urban,820,1600,7,1,1,1,2,Apartment,2005,Moderate,210000,0.04,7/11/2021
33,Rural,1720,900,0,4,2,4,4,Single Family,2011,Low,280000,0.06,6/13/2021
34,Suburban,1480,2000,12,2,2,3,3,Single Family,2000,Low,335000,0.07,7/19/2021
35,Urban,990,400,0,3,1,3,5,Townhouse,2017,High,295000,0.03,6/9/2023
36,Suburban,1360,500,1,3,2,1,4,Single Family,2016,Low,310000,0.05,4/17/2021
37,Urban,845,1500,8,1,2,1,3,Apartment,2006,Moderate,220000,0.04,4/10/2021
38,Rural,1675,700,1,4,3,3,5,Single Family,2014,Low,270000,0.06,10/20/2021
39,Suburban,1395,2200,13,1,3,2,3,Single Family,1999,Low,320000,0.07,6/24/2021
40,Urban,960,200,0,1,1,3,4,Townhouse,2019,High,280000,0.03,8/2/2021
41,Suburban,1265,1000,3,2,2,2,3,Single Family,2012,Low,300000,0.05,7/22/2021
42,Urban,830,1700,6,2,1,1,2,Apartment,2004,Moderate,215000,0.04,6/4/2023
43,Rural,1740,600,0,3,2,4,4,Single Family,2015,Low,285000,0.06,1/22/2023
44,Suburban,1510,2100,11,1,2,2,3,Single Family,2001,Low,330000,0.07,1/6/2024
45,Urban,1010,300,0,2,2,3,4,Townhouse,2018,High,290000,0.03,3/19/2023
46,Suburban,1280,700,2,3,2,2,4,Single Family,2014,Low,305000,0.05,7/6/2021
47,Urban,850,1400,7,2,1,1,3,Apartment,2007,Moderate,220000,0.04,5/21/2023
48,Rural,1690,800,1,4,2,3,5,Single Family,2013,Low,275000,0.06,3/4/2022
49,Suburban,1420,1900,10,2,2,3,3,Single Family,2002,Low,325000,0.07,5/28/2021
50,Urban,970,500,0,1,1,3,4,Townhouse,2016,High,285000,0.03,9/18/2021
51,Suburban,1310,600,1,3,2,1,4,Single Family,2015,Low,310000,0.05,9/12/2022
52,Urban,840,1800,9,1,2,1,3,Apartment,2003,Moderate,230000,0.04,12/27/2021
53,Rural,1660,500,0,3,3,4,5,Single Family,2016,Low,260000,0.06,7/13/2022
54,Suburban,1455,2400,14,2,3,2,3,Single Family,1997,Low,335000,0.07,10/11/2022
55,Urban,925,100,0,2,1,4,4,Townhouse,2020,High,275000,0.03,1/18/2023
56,Suburban,1190,1200,4,2,2,1,4,Single Family,2010,Low,300000,0.05,6/13/2021
57,Urban,860,1300,5,2,1,1,2,Apartment,2008,Moderate,225000,0.04,3/1/2023
58,Rural,1775,400,0,4,3,3,5,Single Family,2017,Low,265000,0.06,7/15/2022
59,Suburban,1520,1800,11,1,2,2,3,Single Family,2003,Low,330000,0.07,2/19/2021
60,Urban,1000,300,0,2,2,3,4,Townhouse,2018,High,285000,0.03,4/23/2022
61,Suburban,1225,900,2,2,2,2,3,Single Family,2012,Low,305000,0.05,8/12/2023
62,Urban,815,1600,6,1,1,1,2,Apartment,2005,Moderate,210000,0.04,2/3/2021
63,Rural,1715,1000,1,4,2,4,4,Single Family,2011,Low,280000,0.06,7/28/2022
64,Suburban,1475,2000,12,2,2,3,3,Single Family,2000,Low,335000,0.07,4/1/2021
65,Urban,985,400,0,3,1,3,5,Townhouse,2017,High,295000,0.03,10/20/2022
66,Suburban,1370,500,1,3,2,1,4,Single Family,2016,Low,310000,0.05,7/17/2023
67,Urban,850,1500,7,1,2,1,3,Apartment,2006,Moderate,220000,0.04,11/26/2023
68,Rural,1680,700,1,4,3,3,5,Single Family,2014,Low,270000,0.06,5/31/2021
69,Suburban,1400,2200,13,1,3,2,3,Single Family,1999,Low,320000,0.07,9/9/2023
70,Urban,955,200,0,1,1,3,4,Townhouse,2019,High,280000,0.03,2/15/2023
71,Suburban,1270,1000,3,2,2,2,3,Single Family,2011,Low,300000,0.05,1/20/2022
72,Urban,825,1700,8,1,2,1,2,Apartment,2004,Moderate,215000,0.04,3/13/2023
73,Rural,1735,600,0,3,2,4,4,Single Family,2015,Low,285000,0.06,7/22/2021
74,Suburban,1505,2100,11,1,2,2,3,Single Family,2001,Low,330000,0.07,3/22/2021
75,Urban,1020,300,0,2,2,3,4,Townhouse,2018,High,290000,0.03,8/11/2023
76,Suburban,1290,700,2,3,2,2,4,Single Family,2014,Low,305000,0.05,5/30/2021
77,Urban,855,1400,7,2,1,1,3,Apartment,2007,Moderate,220000,0.04,4/15/2023
78,Rural,1700,800,1,4,3,3,5,Single Family,2013,Low,275000,0.06,10/20/2021
79,Suburban,1430,1900,10,2,2,3,3,Single Family,2002,Low,325000,0.07,7/20/2023
80,Urban,965,500,0,1,1,3,4,Townhouse,2016,High,285000,0.03,8/13/2023
